1,1,GDP,Pfizer,1354,6770,2021-01-22,2021-04-07
2,2,MAR,Pfizer,781,3905,2021-01-22,2021-04-07
3,3,GUY,Pfizer,272,1360,2021-01-22,2021-04-07
4,4,REU,Pfizer,1462,7310,2021-01-22,2021-04-07
5,11,IDF,Pfizer,6014,30070,2021-01-22,2021-04-07
6,24,CVL,Pfizer,5511,27555,2021-01-22,2021-04-07
7,27,BFC,Moderna,563,5630,2021-01-22,2021-04-07
8,27,BFC,Pfizer,6361,31805,2021-01-22,2021-04-07
9,28,NOR,Pfizer,3792,18960,2021-01-22,2021-04-07
10,32,HDF,Pfizer,4530,22650,2021-01-22,2021-04-07
11,44,GES,Pfizer,5207,26035,2021-01-22,2021-04-07
12,44,GES,Moderna,942,9420,2021-01-22,2021-04-07
13,52,PDL,Pfizer,3803,19015,2021-01-22,2021-04-07
14,53,BRE,Pfizer,4263,21315,2021-01-22,2021-04-07
15,75,NAQ,Pfizer,12196,60980,2021-01-22,2021-04-07
16,76,OCC,Pfizer,11395,56975,2021-01-22,2021-04-07
17,84,ARA,Pfizer,10795,53975,2021-01-22,2021-04-07
18,84,ARA,Moderna,0,0,2021-01-22,2021-04-07
19,93,PAC,Pfizer,2225,11125,2021-01-22,2021-04-07
20,93,PAC,Moderna,58,580,2021-01-22,2021-04-07
21,94,COR,Pfizer,762,3810,2021-01-22,2021-04-07
22,1,GDP,Pfizer,1354,8124,2021-01-24,2021-04-07
23,2,MAR,Pfizer,781,4686,2021-01-24,2021-04-07
24,3,GUY,Pfizer,272,1632,2021-01-24,2021-04-07
25,11,IDF,Pfizer,6014,36084,2021-01-24,2021-04-07
26,24,CVL,Pfizer,5511,33066,2021-01-24,2021-04-07
27,27,BFC,Moderna,407,4070,2021-01-24,2021-04-07
28,27,BFC,Pfizer,6116,36696,2021-01-24,2021-04-07
29,28,NOR,Pfizer,3667,22002,2021-01-24,2021-04-07
30,32,HDF,Pfizer,3817,22902,2021-01-24,2021-04-07
31,44,GES,Pfizer,4751,28506,2021-01-24,2021-04-07
32,44,GES,Moderna,900,9000,2021-01-24,2021-04-07
33,52,PDL,Pfizer,3408,20448,2021-01-24,2021-04-07
34,53,BRE,Pfizer,4120,24720,2021-01-24,2021-04-07
35,75,NAQ,Pfizer,11684,70104,2021-01-24,2021-04-07
36,76,OCC,Pfizer,10484,62904,2021-01-24,2021-04-07
37,84,ARA,Pfizer,10330,61980,2021-01-24,2021-04-07
38,84,ARA,Moderna,0,0,2021-01-24,2021-04-07
39,93,PAC,Pfizer,1983,11898,2021-01-24,2021-04-07
40,93,PAC,Moderna,58,580,2021-01-24,2021-04-07
41,94,COR,Pfizer,752,4512,2021-01-24,2021-04-07
42,4,REU,Pfizer,1462,8772,2021-01-24,2021-04-07
43,1,GDP,Pfizer,1498,8988,2021-01-31,2021-04-07
44,2,MAR,Pfizer,613,3678,2021-01-31,2021-04-07
45,3,GUY,Pfizer,389,2334,2021-01-31,2021-04-07
46,11,IDF,Pfizer,4615,27690,2021-01-31,2021-04-07
47,24,CVL,Pfizer,4821,28926,2021-01-31,2021-04-07
48,27,BFC,Moderna,1421,14210,2021-01-31,2021-04-07
49,27,BFC,Pfizer,5152,30912,2021-01-31,2021-04-07
50,28,NOR,Pfizer,3438,20628,2021-01-31,2021-04-07
51,32,HDF,Pfizer,5729,34374,2021-01-31,2021-04-07
52,32,HDF,Moderna,480,4800,2021-01-31,2021-04-07
53,44,GES,Pfizer,6484,38904,2021-01-31,2021-04-07
54,44,GES,Moderna,1467,14670,2021-01-31,2021-04-07
55,52,PDL,Pfizer,4404,26424,2021-01-31,2021-04-07
56,53,BRE,Pfizer,5229,31374,2021-01-31,2021-04-07
57,75,NAQ,Pfizer,10860,65160,2021-01-31,2021-04-07
58,76,OCC,Pfizer,9697,58182,2021-01-31,2021-04-07
59,84,ARA,Pfizer,9182,55092,2021-01-31,2021-04-07
60,84,ARA,Moderna,240,2400,2021-01-31,2021-04-07
61,93,PAC,Pfizer,2314,13884,2021-01-31,2021-04-07
62,93,PAC,Moderna,520,5200,2021-01-31,2021-04-07
63,94,COR,Pfizer,854,5124,2021-01-31,2021-04-07
64,1,GDP,AstraZeneca,140,1400,2021-02-12,2021-04-07
65,1,GDP,Pfizer,1753,10518,2021-02-12,2021-04-07
66,2,MAR,Pfizer,1350,8100,2021-02-12,2021-04-07
67,2,MAR,AstraZeneca,140,1400,2021-02-12,2021-04-07
68,3,GUY,Pfizer,771,4626,2021-02-12,2021-04-07
69,11,IDF,Pfizer,5566,33396,2021-02-12,2021-04-07
70,11,IDF,AstraZeneca,2073,20730,2021-02-12,2021-04-07
71,11,IDF,Moderna,260,2600,2021-02-12,2021-04-07
72,24,CVL,Pfizer,3854,23124,2021-02-12,2021-04-07
73,24,CVL,AstraZeneca,1064,10640,2021-02-12,2021-04-07
74,24,CVL,Moderna,459,4590,2021-02-12,2021-04-07
75,27,BFC,Pfizer,4984,29904,2021-02-12,2021-04-07
76,27,BFC,Moderna,1218,12180,2021-02-12,2021-04-07
77,27,BFC,AstraZeneca,1838,18380,2021-02-12,2021-04-07
78,28,NOR,Moderna,406,4060,2021-02-12,2021-04-07
79,28,NOR,Pfizer,1988,11928,2021-02-12,2021-04-07
80,28,NOR,AstraZeneca,1291,12910,2021-02-12,2021-04-07
81,32,HDF,Pfizer,10204,61224,2021-02-12,2021-04-07
82,32,HDF,AstraZeneca,2827,28270,2021-02-12,2021-04-07
83,32,HDF,Moderna,807,8070,2021-02-12,2021-04-07
84,44,GES,Pfizer,6583,39498,2021-02-12,2021-04-07
85,44,GES,AstraZeneca,1976,19760,2021-02-12,2021-04-07
86,44,GES,Moderna,2674,26740,2021-02-12,2021-04-07
87,52,PDL,AstraZeneca,1519,15190,2021-02-12,2021-04-07
